StartTime,Direction,TalkingDuration,Answered,CallType,CallID,Status,To
2026-05-23T09:54:44.698872+07:00,Inbound,PT8.94439S,True,Digital Receptionist,1,Answered,8441
2026-05-23T09:54:44.595797+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
2026-05-23T09:05:20.370631+07:00,Inbound,PT15.192721S,True,Digital Receptionist,1,Answered,8441
2026-05-23T09:05:20.268734+07:00,Inbound,PT0S,False,Digital Receptionist,1,Unanswered,8439
2026-05-22T17:00:38.785243+07:00,Internal,PT3.132516S,True,System,1,Answered,*31
2026-05-22T16:53:23.057889+07:00,Inbound,PT5M8.002571S,True,Extension,1,Answered,0114
2026-05-22T16:53:22.262289+07:00,Inbound Queue,PT2.642111S,True,Queue,1,Waiting,8196
2026-05-22T16:53:09.995859+07:00,Inbound,PT12.17013S,True,Digital Receptionist,1,Answered,8439
2026-05-22T16:47:26.370889+07:00,Inbound,PT2M2.020009S,True,Extension,1,Answered,0112
2026-05-22T16:47:25.771805+07:00,Inbound Queue,PT4.103309S,True,Queue,1,Waiting,8196
2026-05-22T16:47:13.674972+07:00,Inbound,PT11.959688S,True,Digital Receptionist,1,Answered,8439
2026-05-22T16:34:01.084467+07:00,Inbound,PT4M21.212759S,True,Extension,1,Answered,0114
2026-05-22T16:34:00.295482+07:00,Inbound Queue,PT2.707253S,True,Queue,1,Waiting,8196
2026-05-22T16:33:48.032207+07:00,Inbound,PT12.14415S,True,Digital Receptionist,1,Answered,8439
2026-05-22T16:23:53.882219+07:00,Inbound,PT16M30.787607S,True,Extension,1,Answered,0112
2026-05-22T16:23:53.094298+07:00,Inbound Queue,PT3.325257S,True,Queue,1,Waiting,8196
2026-05-22T16:23:40.927446+07:00,Inbound,PT12.146071S,True,Digital Receptionist,1,Answered,8439
2026-05-22T16:18:29.462925+07:00,Inbound,PT4M48.483548S,True,Extension,1,Answered,0114
2026-05-22T16:18:28.843907+07:00,Inbound Queue,PT2.737423S,True,Queue,1,Waiting,8196
2026-05-22T16:18:16.685953+07:00,Inbound,PT12.056988S,True,Digital Receptionist,1,Answered,8439
2026-05-22T16:01:32.048332+07:00,Inbound,PT2M4.469381S,True,Extension,1,Answered,0112
2026-05-22T16:01:31.352458+07:00,Inbound Queue,PT9.532954S,True,Queue,1,Waiting,8196
2026-05-22T16:01:19.287772+07:00,Inbound,PT12.039597S,True,Digital Receptionist,1,Answered,8439
2026-05-22T15:59:38.482216+07:00,Inbound,PT1M42.489226S,True,Extension,1,Answered,0114
2026-05-22T15:59:37.949093+07:00,Inbound Queue,PT2.464017S,True,Queue,1,Waiting,8196
2026-05-22T15:59:25.952448+07:00,Inbound,PT11.879872S,True,Digital Receptionist,1,Answered,8439
2026-05-22T16:00:25.20681+07:00,Inbound Queue,PT28.857001S,True,Queue,1,Waiting,8048
2026-05-22T15:59:37.958475+07:00,Inbound,PT37.872835S,True,Extension,1,Answered,0112
2026-05-22T15:59:37.344154+07:00,Inbound Queue,PT9.978176S,True,Queue,1,Waiting,8196
2026-05-22T15:59:24.974987+07:00,Inbound,PT12.070374S,True,Digital Receptionist,1,Answered,8439
2026-05-22T15:51:21.131292+07:00,Inbound Queue,PT21.455373S,True,Queue,1,Waiting,8048
2026-05-22T15:50:54.597237+07:00,Inbound,PT24.919859S,True,Extension,1,Answered,0114
2026-05-22T15:50:54.368205+07:00,Inbound Queue,PT1.757288S,True,Queue,1,Waiting,8196
2026-05-22T15:50:42.29837+07:00,Inbound,PT12.048384S,True,Digital Receptionist,1,Answered,8439
2026-05-22T15:45:04.505044+07:00,Inbound,PT4M1.762279S,True,Extension,1,Answered,0112
2026-05-22T15:45:03.777999+07:00,Inbound Queue,PT8.433522S,True,Queue,1,Waiting,8196
2026-05-22T15:44:51.516943+07:00,Inbound,PT12.14154S,True,Digital Receptionist,1,Answered,8439
2026-05-22T15:32:42.175493+07:00,Inbound,PT2M6.734905S,True,Extension,1,Answered,0114
2026-05-22T15:32:41.88054+07:00,Inbound Queue,PT2.067181S,True,Queue,1,Waiting,8196
2026-05-22T15:32:29.701686+07:00,Inbound,PT12.15984S,True,Digital Receptionist,1,Answered,8439
2026-05-22T15:21:16.59769+07:00,Internal,PT3.088843S,True,System,1,Answered,*31
2026-05-22T15:15:58.539373+07:00,Inbound,PT1M40.946539S,True,Extension,1,Answered,0112
2026-05-22T15:15:57.823223+07:00,Inbound Queue,PT4.681205S,True,Queue,1,Waiting,8196
2026-05-22T15:15:45.559129+07:00,Inbound,PT11.995603S,True,Digital Receptionist,1,Answered,8439
2026-05-22T15:07:26.911816+07:00,Internal,PT3.53544S,True,System,1,Answered,*30
2026-05-22T15:05:56.420395+07:00,Outbound,PT7M25.883869S,True,External,1,Answered,10024
2026-05-22T15:04:16.499097+07:00,Outbound,PT26.129609S,True,External,1,Answered,10024
2026-05-22T15:01:51.536203+07:00,Internal,PT0S,False,System,1,Unanswered,EndCall
2026-05-22T15:01:54.543269+07:00,Inbound,PT2M3.554646S,True,Extension,1,Answered,0114
2026-05-22T15:01:54.325696+07:00,Inbound Queue,PT3.020418S,True,Queue,1,Waiting,8196
2026-05-22T15:01:42.077226+07:00,Inbound,PT12.056885S,True,Digital Receptionist,1,Answered,8439
2026-05-22T14:51:21.689773+07:00,Inbound,PT4M51.676376S,True,Extension,1,Answered,0112
2026-05-22T14:51:21.576697+07:00,Inbound Queue,PT3.885046S,True,Queue,1,Waiting,8196
2026-05-22T14:51:09.446574+07:00,Inbound,PT12.023141S,True,Digital Receptionist,1,Answered,8439
2026-05-22T14:49:40.737057+07:00,Inbound,PT3M57.026806S,True,Extension,1,Answered,0114
2026-05-22T14:49:40.02895+07:00,Inbound Queue,PT2.53247S,True,Queue,1,Waiting,8196
2026-05-22T14:49:27.856706+07:00,Inbound,PT12.071833S,True,Digital Receptionist,1,Answered,8439
2026-05-22T14:47:52.433484+07:00,Internal,PT3.538692S,True,System,1,Answered,*30
2026-05-22T14:47:48.136444+07:00,Inbound,PT2M45.278304S,True,Extension,1,Answered,0112
2026-05-22T14:47:47.510263+07:00,Inbound Queue,PT3.598406S,True,Queue,1,Waiting,8196
2026-05-22T14:47:35.338193+07:00,Inbound,PT12.065115S,True,Digital Receptionist,1,Answered,8439
2026-05-22T14:34:43.505355+07:00,Internal,PT3.131293S,True,System,1,Answered,*31
2026-05-22T14:29:18.577907+07:00,Inbound,PT5M8.974009S,True,Extension,1,Answered,0112
2026-05-22T14:29:17.876109+07:00,Inbound Queue,PT2.480477S,True,Queue,1,Waiting,8196
2026-05-22T14:29:01.056827+07:00,Inbound,PT16.695244S,True,Digital Receptionist,1,Answered,8439
2026-05-22T14:19:48.151127+07:00,Internal,PT3.434062S,True,System,1,Answered,*30
2026-05-22T14:16:56.966872+07:00,Inbound,PT16M43.804079S,True,Extension,1,Answered,0114
2026-05-22T14:16:56.313871+07:00,Inbound Queue,PT2.768171S,True,Queue,1,Waiting,8196
2026-05-22T14:16:44.047643+07:00,Inbound,PT12.060621S,True,Digital Receptionist,1,Answered,8439
2026-05-22T14:13:18.420543+07:00,Inbound,PT1M29.386183S,True,Extension,1,Answered,0114
2026-05-22T14:13:17.716475+07:00,Inbound Queue,PT2.373391S,True,Queue,1,Waiting,8196
2026-05-22T14:13:05.352297+07:00,Inbound,PT12.066091S,True,Digital Receptionist,1,Answered,8439
2026-05-22T14:13:07.846465+07:00,Inbound Queue,PT4.628103S,True,Queue,1,Waiting,8048
2026-05-22T14:12:38.959335+07:00,Inbound,PT26.534917S,True,Extension,1,Answered,0114
2026-05-22T14:12:38.202685+07:00,Inbound Queue,PT3.044913S,True,Queue,1,Waiting,8196
2026-05-22T14:12:26.029705+07:00,Inbound,PT12.227836S,True,Digital Receptionist,1,Answered,8439
2026-05-22T14:07:11.07903+07:00,Internal,PT3.125524S,True,System,1,Answered,*31
2026-05-22T14:05:36.307668+07:00,Inbound,PT2M24.040538S,True,Extension,1,Answered,0114
2026-05-22T14:05:35.510038+07:00,Inbound Queue,PT2.949161S,True,Queue,1,Waiting,8196
2026-05-22T14:05:23.250951+07:00,Inbound,PT12.13951S,True,Digital Receptionist,1,Answered,8439
2026-05-22T13:56:00.287689+07:00,Internal,PT3.429081S,True,System,1,Answered,*31
2026-05-22T13:53:02.25658+07:00,Internal,PT7.964294S,True,Extension,1,Answered,0112
2026-05-22T13:52:29.030224+07:00,Internal,PT3.531823S,True,System,1,Answered,*30
2026-05-22T13:44:37.350572+07:00,Internal,PT3.09151S,True,System,1,Answered,*31
2026-05-22T13:43:13.003544+07:00,Inbound,PT1M17.028424S,True,Extension,1,Answered,0113
2026-05-22T13:43:12.317467+07:00,Inbound Queue,PT2.62272S,True,Queue,1,Waiting,8196
2026-05-22T13:43:00.147118+07:00,Inbound,PT11.970116S,True,Digital Receptionist,1,Answered,8439
2026-05-22T13:22:39.352706+07:00,Inbound,PT1M48.764513S,True,Extension,1,Answered,0112
2026-05-22T13:22:38.729798+07:00,Inbound Queue,PT9.799555S,True,Queue,1,Waiting,8196
2026-05-22T13:22:26.704903+07:00,Inbound,PT11.865435S,True,Digital Receptionist,1,Answered,8439
2026-05-22T13:11:19.812132+07:00,Internal,PT3.524158S,True,System,1,Answered,*30
2026-05-22T13:12:26.754028+07:00,Inbound,PT5M3.589852S,True,Extension,1,Answered,0112
2026-05-22T13:11:45.649741+07:00,Inbound,PT41.039608S,True,Extension,1,Answered,0114
2026-05-22T13:11:45.362825+07:00,Inbound Queue,PT2.722081S,True,Queue,1,Waiting,8196
2026-05-22T13:11:33.005131+07:00,Inbound,PT12.138594S,True,Digital Receptionist,1,Answered,8439
2026-05-22T13:09:40.064232+07:00,Internal,PT3.479693S,True,System,1,Answered,*30
2026-05-22T13:09:13.16552+07:00,Internal,PT3.119345S,True,System,1,Answered,*31
2026-05-22T13:07:41.409973+07:00,Internal,PT3.528078S,True,System,1,Answered,*30
2026-05-22T13:01:45.818717+07:00,Internal,PT3.547308S,True,System,1,Answered,*30
2026-05-22T12:01:26.682813+07:00,Internal,PT3.142682S,True,System,1,Answered,*31
2026-05-22T12:01:26.446617+07:00,Internal,PT3.123062S,True,System,1,Answered,*31
2026-05-22T11:59:03.619438+07:00,Internal,PT3.091825S,True,System,1,Answered,*31
2026-05-22T11:51:26.521452+07:00,Inbound Queue,PT4.607323S,True,Queue,1,Waiting,8048
2026-05-22T11:49:45.273301+07:00,Inbound,PT1M39.276268S,True,Extension,1,Answered,0113
2026-05-22T11:49:44.562237+07:00,Inbound Queue,PT2.677065S,True,Queue,1,Waiting,8196
2026-05-22T11:49:32.299491+07:00,Inbound,PT12.062522S,True,Digital Receptionist,1,Answered,8439
2026-05-22T11:41:06.263771+07:00,Internal,PT3.432166S,True,System,1,Answered,*30
2026-05-22T11:37:31.243351+07:00,Inbound,PT4M6.918921S,True,Extension,1,Answered,0112
2026-05-22T11:37:31.124366+07:00,Inbound Queue,PT2.48574S,True,Queue,1,Waiting,8196
2026-05-22T11:37:19.055882+07:00,Inbound,PT11.906736S,True,Digital Receptionist,1,Answered,8439
2026-05-22T11:29:45.390455+07:00,Internal,PT3.135952S,True,System,1,Answered,*31
2026-05-22T11:30:06.872142+07:00,Inbound,PT8M3.788882S,True,Extension,1,Answered,0114
2026-05-22T11:30:06.160977+07:00,Inbound Queue,PT3.896136S,True,Queue,1,Waiting,8196
2026-05-22T11:29:54.051726+07:00,Inbound,PT12.144818S,True,Digital Receptionist,1,Answered,8439
2026-05-22T11:21:34.141683+07:00,Inbound,PT8M1.330959S,True,Extension,1,Answered,0113
2026-05-22T11:21:33.53709+07:00,Inbound Queue,PT2.517801S,True,Queue,1,Waiting,8196
2026-05-22T11:21:21.468014+07:00,Inbound,PT12.049755S,True,Digital Receptionist,1,Answered,8439
2026-05-22T11:11:22.124899+07:00,Internal,PT3.52118S,True,System,1,Answered,*30
2026-05-22T11:09:53.671783+07:00,Internal,PT3.122583S,True,System,1,Answered,*31
2026-05-22T11:10:30.604563+07:00,Inbound,PT2M17.992849S,True,Extension,1,Answered,0114
2026-05-22T11:10:07.787341+07:00,Inbound Queue,PT24.190187S,True,Queue,1,Waiting,8196
2026-05-22T11:09:55.621935+07:00,Inbound,PT12.145443S,True,Digital Receptionist,1,Answered,8439
2026-05-22T11:08:42.689028+07:00,Inbound,PT1M42.944303S,True,Extension,1,Answered,0114
2026-05-22T11:08:41.898096+07:00,Inbound Queue,PT3.395044S,True,Queue,1,Waiting,8196
2026-05-22T11:08:29.731832+07:00,Inbound,PT12.149185S,True,Digital Receptionist,1,Answered,8439
2026-05-22T10:56:29.53613+07:00,Internal,PT3.522895S,True,System,1,Answered,*30
2026-05-22T10:48:53.73183+07:00,Outbound,PT1M2.950267S,True,External,1,Answered,10024
2026-05-22T10:44:37.755191+07:00,Inbound,PT3M18.88936S,True,Extension,1,Answered,0113
2026-05-22T10:44:37.643146+07:00,Inbound Queue,PT1.791442S,True,Queue,1,Waiting,8196
2026-05-22T10:44:25.374282+07:00,Inbound,PT11.96096S,True,Digital Receptionist,1,Answered,8439
2026-05-22T10:42:58.377029+07:00,Internal,PT3.150426S,True,System,1,Answered,*31
2026-05-22T10:40:26.369116+07:00,Inbound,PT3M18.828038S,True,Extension,1,Answered,0113
2026-05-22T10:40:25.664947+07:00,Inbound Queue,PT2.455114S,True,Queue,1,Waiting,8196
2026-05-22T10:40:13.680633+07:00,Inbound,PT11.991702S,True,Digital Receptionist,1,Answered,8439
2026-05-22T10:39:51.635748+07:00,Internal,PT3.518023S,True,System,1,Answered,*30
2026-05-22T10:40:10.670927+07:00,Inbound,PT2M3.352431S,True,Extension,1,Answered,0112
2026-05-22T10:40:09.977979+07:00,Inbound Queue,PT2.664883S,True,Queue,1,Waiting,8196
2026-05-22T10:39:57.802653+07:00,Inbound,PT12.075596S,True,Digital Receptionist,1,Answered,8439
2026-05-22T10:58:13.386943+07:00,Inbound,PT30M23.13817S,True,Extension,1,Answered,0112
2026-05-22T10:56:21.777279+07:00,Inbound,PT1M56.191825S,True,System,1,Answered,0112
2026-05-22T10:56:10.347934+07:00,Internal,PT11.349946S,True,System,1,Answered,0112
2026-05-22T10:56:10.276171+07:00,Internal,PT0S,False,Extension,1,Unanswered,0112
